Rule,Predicted_Class,Support,Confidence
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean > 1.722) and (range.mean > 3.163) and (nUnique <= 2.500) and (kurtosis.mean <= 0.862) and (iq_range.mean <= 1.784),0,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean > 1.722) and (range.mean > 3.163) and (nUnique <= 2.500) and (kurtosis.mean <= 0.862) and (iq_range.mean > 1.784) and (sd.mean <= 2.435),0,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean > 1.722) and (range.mean > 3.163) and (nUnique <= 2.500) and (kurtosis.mean <= 0.862) and (iq_range.mean > 1.784) and (sd.mean > 2.435),2,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean > 1.722) and (range.mean > 3.163) and (nUnique <= 2.500) and (kurtosis.mean > 0.862),3,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean > 1.722) and (range.mean > 3.163) and (nUnique > 2.500) and (attr_to_inst <= 0.004),3,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean > 1.722) and (range.mean > 3.163) and (nUnique > 2.500) and (attr_to_inst > 0.004) and (skewness.mean <= -0.001),0,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean > 1.722) and (range.mean > 3.163) and (nUnique > 2.500) and (attr_to_inst > 0.004) and (skewness.mean > -0.001) and (attr_ent.mean <= 2.278),0,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean > 1.722) and (range.mean > 3.163) and (nUnique > 2.500) and (attr_to_inst > 0.004) and (skewness.mean > -0.001) and (attr_ent.mean > 2.278) and (cor.mean <= 0.295),2,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean > 1.722) and (range.mean > 3.163) and (nUnique > 2.500) and (attr_to_inst > 0.004) and (skewness.mean > -0.001) and (attr_ent.mean > 2.278) and (cor.mean > 0.295),2,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean <= 1.932) and (ena <= -3.912) and (kurtosis.mean <= 3.053),2,0.004819277108433735,0.5
