Dataset,Domain,Bigdata,"Merge (train, test, validation)",Seperate label file,File conversion,Additional files,Multiple sheets,Missing data,Zip,Label,Preprocessing,Multiple files,Type of Preprocessing,Multiple Data files,Dataset characteristics,ML,On server,,,,,
Thyroid Disease (thyroid0387) Multi-class Imbalanced data set,Health and Medicine,No,No,No,No,No,No,No,No,No,No,No,,1,,,,,,,,
Thyroid Disease Data Set,Health and Medicine,No,No,No,No,No,No,No,No,No,Yes,No,Changed file name,1,,Yes,,,,,,
Thyroid-5cn21-nc,Health and Medicine,No,No,No,No,No,No,No,No,No,Yes,No,Changed file name,1,,Yes,,,,,,
Tic-Tac-Toe Endgame Data Set,Games,No,No,No,No,No,No,No,No,No,No,No,,1,,Yes,,,,,,
Titanic,Other,No,No,No,No,No,No,No,No,No,No,No,,1,,Yes,,,,,,
TUANDROMD ( Tezpur University Android Malware Dataset) Data Set,Computer Science,No,No,No,No,No,No,Yes,No,,No,No,,1,,Yes,,KeyError: 2533,,,,
Turkish Music Emotion Dataset Data Set,Other,No,No,No,No,No,No,No,No,No,No,No,,1,,Yes,Yes,,,,,
User Knowledge Modeling Data Set,Computer Science,No,No,No,No,No,Yes,No,No,,Yes,No,Deleted additional metadata file,1,,,,Has multiple sheets,,,,
Vertebral Column Data Set,Health and Medicine,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,,2,,Yes,,,,,,
Website Phishing Data Set,Computer Science,No,No,No,Yes,No,No,No,No,No,No,No,,1,,Yes,,len(perc) >= len(pecr1) ,,,,
Wholesale customers Data Set,Business,No,No,No,No,No,No,No,No,No,No,No,,1,,Yes,,,,,,
Wine Data Set,Physics and Chemistry,No,No,No,No,No,No,No,No,No,No,No,,1,,Yes,,,,,,
Wine Multi-class Imbalanced data set,Physics and Chemistry,No,No,No,No,No,No,No,No,No,No,No,,1,,,,,,,,
Wine Quality Data Set,Business,Yes,No,No,No,Yes,No,No,No,No,No,Yes,,2,,Yes,,,,,,
wine5cn10-nc,Physics and Chemistry,No,No,No,No,No,No,No,No,No,Yes,No,Changed file name,1,,Yes,,,,,,
Yeast,Biology,No,No,No,No,No,No,No,No,No,No,No,,1,,Yes,,"Str conver, delimiter",,,,
Yeast (Imbalanced: 1 vs 7) data set,Biology,No,No,No,No,No,No,No,No,No,Yes,No,Changed file name,1,,Yes,,,,,,
Yeast (Imbalanced: 1) data set,Biology,No,No,No,No,No,No,No,No,No,Yes,No,Changed file name,1,,Yes,,,,,,
